fecha,precipitacion_mm,QC_Fisico,QC_IQR,QC_Ceros,QC_Temporal,QC_ENSO,Decision,UH,Estacion,Precip_postQC
2012-01-01,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-02,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-03,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-04,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-05,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-06,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-07,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-08,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-09,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-10,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-11,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-12,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-13,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-14,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-15,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-16,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-17,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-18,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-19,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-20,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-21,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-22,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-23,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-24,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-01-25,5.800000086426728,True,True,True,False,True,Revisar,ANA,ANA 1,5.800000086426728
2012-01-26,6.000000089406961,True,True,True,True,True,Aceptado,ANA,ANA 1,6.000000089406961
2012-01-27,4.000000059604639,True,True,True,True,True,Aceptado,ANA,ANA 1,4.000000059604639
2012-01-28,17.00000025331973,True,False,True,True,True,Revisar,ANA,ANA 1,17.00000025331973
2012-01-29,13.800000205636016,True,True,True,True,True,Aceptado,ANA,ANA 1,13.800000205636016
2012-01-30,18.600000277161588,True,False,True,True,True,Revisar,ANA,ANA 1,18.600000277161588
2012-01-31,7.800000116229047,True,True,True,True,True,Aceptado,ANA,ANA 1,7.800000116229047
2012-02-01,2.600000038743015,True,True,True,True,True,Aceptado,ANA,ANA 1,2.600000038743015
2012-02-02,9.60000014305114,True,True,True,True,True,Aceptado,ANA,ANA 1,9.60000014305114
2012-02-03,9.80000014603137,True,True,True,True,True,Aceptado,ANA,ANA 1,9.80000014603137
2012-02-04,9.600000143051137,True,True,True,True,True,Aceptado,ANA,ANA 1,9.600000143051137
2012-02-05,4.800000071525567,True,True,True,True,True,Aceptado,ANA,ANA 1,4.800000071525567
2012-02-06,5.800000086426727,True,True,True,True,True,Aceptado,ANA,ANA 1,5.800000086426727
2012-02-07,29.200000435113896,True,False,True,False,True,Revisar,ANA,ANA 1,29.200000435113896
2012-02-08,14.200000211596482,True,True,True,True,True,Aceptado,ANA,ANA 1,14.200000211596482
2012-02-09,9.000000134110444,True,True,True,True,True,Aceptado,ANA,ANA 1,9.000000134110444
2012-02-10,12.800000190734853,True,True,True,True,True,Aceptado,ANA,ANA 1,12.800000190734853
2012-02-11,10.000000149011605,True,True,True,True,True,Aceptado,ANA,ANA 1,10.000000149011605
2012-02-12,1.00000001490116,True,True,True,True,True,Aceptado,ANA,ANA 1,1.00000001490116
2012-02-13,2.800000041723247,True,True,True,True,True,Aceptado,ANA,ANA 1,2.800000041723247
2012-02-14,0.0,True,True,False,True,True,Revisar,ANA,ANA 1,0.0
2012-02-15,5.400000080466263,True,True,True,True,True,Aceptado,ANA,ANA 1,5.400000080466263
2012-02-16,2.200000032782552,True,True,True,True,True,Aceptado,ANA,ANA 1,2.200000032782552
2012-02-17,0.0,True,True,False,True,True,Revisar,ANA,ANA 1,0.0
2012-02-18,1.800000026822088,True,True,True,True,True,Aceptado,ANA,ANA 1,1.800000026822088
2012-02-19,26.400000393390645,True,False,True,False,True,Revisar,ANA,ANA 1,26.400000393390645
2012-02-20,13.800000205636016,True,True,True,True,True,Aceptado,ANA,ANA 1,13.800000205636016
2012-02-21,1.200000017881392,True,True,True,True,True,Aceptado,ANA,ANA 1,1.200000017881392
2012-02-22,7.400000110268584,True,True,True,True,True,Aceptado,ANA,ANA 1,7.400000110268584
2012-02-23,21.00000031292437,True,False,True,True,True,Revisar,ANA,ANA 1,21.00000031292437
2012-02-24,5.800000086426728,True,True,True,True,True,Aceptado,ANA,ANA 1,5.800000086426728
2012-02-25,6.00000008940696,True,True,True,True,True,Aceptado,ANA,ANA 1,6.00000008940696
2012-02-26,20.000000298023213,True,False,True,True,True,Revisar,ANA,ANA 1,20.000000298023213
2012-02-27,12.000000178813924,True,True,True,True,True,Aceptado,ANA,ANA 1,12.000000178813924
2012-02-28,10.600000157952298,True,True,True,True,True,Aceptado,ANA,ANA 1,10.600000157952298
2012-02-29,8.200000122189513,True,True,True,True,True,Aceptado,ANA,ANA 1,8.200000122189513
2012-03-01,6.400000095367424,True,True,True,True,True,Aceptado,ANA,ANA 1,6.400000095367424
2012-03-02,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1,0.0
2012-03-03,0.800000011920928,True,True,True,True,True,Aceptado,ANA,ANA 1,0.800000011920928
2012-03-04,2.600000038743015,True,True,True,True,True,Aceptado,ANA,ANA 1,2.600000038743015
2012-03-05,14.00000020861625,True,True,True,True,True,Aceptado,ANA,ANA 1,14.00000020861625
2012-03-06,7.400000110268584,True,True,True,True,True,Aceptado,ANA,ANA 1,7.400000110268584
2012-03-07,28.400000423192967,True,False,True,False,True,Revisar,ANA,ANA 1,28.400000423192967
2012-03-08,8.400000125169745,True,True,True,False,True,Revisar,ANA,ANA 1,8.400000125169745
2012-03-09,10.000000149011605,True,True,True,True,True,Aceptado,ANA,ANA 1,10.000000149011605
2012-03-10,0.200000002980232,True,True,True,True,True,Aceptado,ANA,ANA 1,0.200000002980232
2012-03-11,2.800000041723247,True,True,True,True,True,Aceptado,ANA,ANA 1,2.800000041723247
2012-03-12,7.2000001072883535,True,True,True,True,True,Aceptado,ANA,ANA 1,7.2000001072883535
2012-03-13,2.2000000327825515,True,True,True,True,True,Aceptado,ANA,ANA 1,2.2000000327825515
2012-03-14,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1,0.0
2012-03-15,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1,0.0
2012-03-16,5.0000000745058,True,True,True,True,True,Aceptado,ANA,ANA 1,5.0000000745058
2012-03-17,7.600000113248816,True,True,True,True,True,Aceptado,ANA,ANA 1,7.600000113248816
2012-03-18,1.00000001490116,True,True,True,True,True,Aceptado,ANA,ANA 1,1.00000001490116
2012-03-19,2.600000038743016,True,True,True,True,True,Aceptado,ANA,ANA 1,2.600000038743016
2012-03-20,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1,0.0
2012-03-21,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1,0.0
2012-03-22,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1,0.0
2012-03-23,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1,0.0
2012-03-24,0.800000011920928,True,True,True,True,True,Aceptado,ANA,ANA 1,0.800000011920928
2012-03-25,10.0000001490116,True,True,True,True,True,Aceptado,ANA,ANA 1,10.0000001490116
2012-03-26,13.800000205636016,True,True,True,True,True,Aceptado,ANA,ANA 1,13.800000205636016
2012-03-27,4.200000062584871,True,True,True,True,True,Aceptado,ANA,ANA 1,4.200000062584871
2012-03-28,25.400000378489484,True,False,True,False,True,Revisar,ANA,ANA 1,25.400000378489484
2012-03-29,0.6000000089406959,True,True,True,False,True,Revisar,ANA,ANA 1,0.6000000089406959
2012-03-30,0.6000000089406959,True,True,True,True,True,Aceptado,ANA,ANA 1,0.6000000089406959
2012-03-31,2.2000000327825515,True,True,True,True,True,Aceptado,ANA,ANA 1,2.2000000327825515
2012-04-01,8.000000119209282,True,True,True,True,True,Aceptado,ANA,ANA 1,8.000000119209282
2012-04-02,12.600000187754622,True,True,True,True,True,Aceptado,ANA,ANA 1,12.600000187754622
2012-04-03,4.600000068545334,True,True,True,True,True,Aceptado,ANA,ANA 1,4.600000068545334
2012-04-04,5.0000000745058,True,True,True,True,True,Aceptado,ANA,ANA 1,5.0000000745058
2012-04-05,18.60000027716159,True,False,True,True,True,Revisar,ANA,ANA 1,18.60000027716159
2012-04-06,9.60000014305114,True,True,True,True,True,Aceptado,ANA,ANA 1,9.60000014305114
2012-04-07,6.80000010132789,True,True,True,True,True,Aceptado,ANA,ANA 1,6.80000010132789
2012-04-08,6.000000089406958,True,True,True,True,True,Aceptado,ANA,ANA 1,6.000000089406958
2012-04-09,22.000000327825536,True,False,True,True,True,Revisar,ANA,ANA 1,22.000000327825536
2012-04-10,11.60000017285346,True,True,True,True,True,Aceptado,ANA,ANA 1,11.60000017285346
2012-04-11,6.000000089406959,True,True,True,True,True,Aceptado,ANA,ANA 1,6.000000089406959
2012-04-12,7.200000107288351,True,True,True,True,True,Aceptado,ANA,ANA 1,7.200000107288351
2012-04-13,0.6000000089406959,True,True,True,True,True,Aceptado,ANA,ANA 1,0.6000000089406959
2012-04-14,31.20000046491622,True,False,True,False,True,Revisar,ANA,ANA 1,31.20000046491622
2012-04-15,27.000000402331345,True,False,True,True,True,Revisar,ANA,ANA 1,27.000000402331345
2012-04-16,8.80000013113021,True,True,True,True,True,Aceptado,ANA,ANA 1,8.80000013113021
2012-04-17,4.800000071525568,True,True,True,True,True,Aceptado,ANA,ANA 1,4.800000071525568
2012-04-18,13.20000019669532,True,True,True,True,True,Aceptado,ANA,ANA 1,13.20000019669532
2012-04-19,1.800000026822088,True,True,True,True,True,Aceptado,ANA,ANA 1,1.800000026822088
2012-04-20,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-04-21,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-04-22,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-04-23,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-04-24,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-04-25,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-04-26,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-04-27,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-04-28,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-04-29,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-04-30,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-01,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-02,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-03,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-04,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-05,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-06,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-07,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-08,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-09,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-10,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-11,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-12,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-13,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-14,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-15,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-16,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-17,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-18,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-19,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-20,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-21,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-22,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-23,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-24,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-25,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-26,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-27,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-28,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-29,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-30,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-05-31,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-01,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-02,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-03,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-04,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-05,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-06,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-07,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-08,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-09,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-10,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-11,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-12,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-13,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-14,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-15,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-16,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-17,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-18,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-19,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-20,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-21,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-22,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-23,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-24,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-25,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-26,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-27,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-28,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-29,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-06-30,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-01,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-02,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-03,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-04,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-05,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-06,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-07,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-08,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-09,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-10,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-11,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-12,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-13,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-14,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-15,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-16,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-17,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-18,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-19,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-20,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-21,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-22,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-23,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-24,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-25,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-26,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-27,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-28,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-29,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-30,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-07-31,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-01,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-02,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-03,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-04,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-05,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-06,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-07,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-08,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-09,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-10,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-11,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-12,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-13,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-14,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-15,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-16,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-17,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-18,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-19,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-20,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-21,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-22,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-23,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-24,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-25,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-26,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-27,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-28,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-29,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-30,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-08-31,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-01,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-02,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-03,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-04,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-05,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-06,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-07,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-08,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-09,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-10,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-11,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-12,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-13,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-14,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-15,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-16,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-17,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-18,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-19,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-20,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-21,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-22,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-23,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-24,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-25,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-26,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-27,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-28,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-29,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-09-30,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-01,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-02,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-03,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-04,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-05,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-06,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-07,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-08,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-09,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-10,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-11,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-12,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-13,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-14,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-15,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-16,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-17,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-18,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-19,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-20,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-21,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-22,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-23,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-24,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-25,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-26,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-27,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-28,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-29,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-30,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-10-31,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-01,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-02,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-03,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-04,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-05,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-06,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-07,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-08,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-09,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-10,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-11,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-12,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-13,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-14,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-15,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-16,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-17,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-18,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-19,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-20,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-21,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-22,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-23,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-24,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-25,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-26,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-27,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-28,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-29,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-11-30,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-01,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-02,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-03,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-04,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-05,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-06,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-07,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-08,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-09,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-10,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-11,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-12,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-13,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-14,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-15,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-16,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-17,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-18,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-19,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-20,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-21,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-22,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-23,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-24,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-25,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-26,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-27,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-28,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-29,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-30,,False,False,True,False,True,Completar,ANA,ANA 1,
2012-12-31,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-01,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-02,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-03,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-04,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-05,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-06,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-07,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-08,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-09,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-10,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-11,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-12,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-13,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-14,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-15,,False,False,True,False,True,Completar,ANA,ANA 1,
2013-01-16,,False,False,True,False,True,Completar,ANA,ANA 1,
